ABANCAY;ABANCAY;1
CHACOCHE;ABANCAY;1
CIRCA;ABANCAY;1
CURAHUASI;ABANCAY;1
HUANIPACA;ABANCAY;1
LAMBRAMA;ABANCAY;1
PICHIRHUA;ABANCAY;1
SAN PEDRO DE CACHORA;ABANCAY;1
TAMBURCO;ABANCAY;1
ANDABAMBA;ACOBAMBA;1
ANTA;ACOBAMBA;1
CAJA;ACOBAMBA;1
POMACOCHA;ACOBAMBA;1
ROSARIO;ACOBAMBA;1
ACOMAYO;ACOMAYO;1
ACOPIA;ACOMAYO;1
ACOS;ACOMAYO;1
MOSOC LLACTA;ACOMAYO;1
POMACANCHI;ACOMAYO;1
RONDOCAN;ACOMAYO;1
SANGARARA;ACOMAYO;1
AIJA;AIJA;1
CORIS;AIJA;1
HUACLLAN;AIJA;1
LA MERCED;AIJA;1
SUCCHA;AIJA;1
BALSAPUERTO;ALTO AMAZONAS;1
JEBEROS;ALTO AMAZONAS;1
LAGUNAS;ALTO AMAZONAS;1
SANTA CRUZ;ALTO AMAZONAS;1
TENIENTE CESAR LOPEZ ROJAS;ALTO AMAZONAS;1
YURIMAGUAS;ALTO AMAZONAS;1
AMBO;AMBO;1
CAYNA;AMBO;1
COLPAS;AMBO;1
CONCHAMARCA;AMBO;1
HUACAR;AMBO;1
SAN FRANCISCO;AMBO;1
SAN RAFAEL;AMBO;1
TOMAY KICHWA;AMBO;1
ANDAHUAYLAS;ANDAHUAYLAS;1
ANDARAPA;ANDAHUAYLAS;1
CHIARA;ANDAHUAYLAS;1
HUANCARAY;ANDAHUAYLAS;1
HUAYANA;ANDAHUAYLAS;1
JOSE MARIA ARGUEDAS;ANDAHUAYLAS;1
KAQUIABAMBA;ANDAHUAYLAS;1
KISHUARA;ANDAHUAYLAS;1
PACOBAMBA;ANDAHUAYLAS;1
PAMPACHIRI;ANDAHUAYLAS;1
POMACOCHA;ANDAHUAYLAS;1
SAN ANTONIO DE CACHI;ANDAHUAYLAS;1
SAN MIGUEL DE CHACCRAMPA;ANDAHUAYLAS;1
SANTA MARIA DE CHICMO;ANDAHUAYLAS;1
TALAVERA;ANDAHUAYLAS;1
TUMAY HUARACA;ANDAHUAYLAS;1
TURPO;ANDAHUAYLAS;1
ANCHONGA;ANGARAES;1
CALLANMARCA;ANGARAES;1
CCOCHACCASA;ANGARAES;1
CHINCHO;ANGARAES;1
CONGALLA;ANGARAES;1
HUANCA-HUANCA;ANGARAES;1
HUAYLLAY GRANDE;ANGARAES;1
JULCAMARCA;ANGARAES;1
LIRCAY;ANGARAES;1
SAN ANTONIO DE ANTAPARCO;ANGARAES;1
SANTO TOMAS DE PATA;ANGARAES;1
SECCLLA;ANGARAES;1
ANCAHUASI;ANTA;1
ANTA;ANTA;1
CACHIMAYO;ANTA;1
CHINCHAYPUJIO;ANTA;1
LIMATAMBO;ANTA;1
MOLLEPATA;ANTA;1
PUCYURA;ANTA;1
ZURITE;ANTA;1
ANTABAMBA;ANTABAMBA;1
